rank,user,pagerank,betweenness,norm_indegree,in_degree,out_degree,composite,core_number,mean_sentiment,n_posts
156,monochandan,0.001419918281766026,0.0,0.1875,3,0,0.056817967312706406,2,0.053833333333333344,3
158,dyecon,0.0013720546592620021,0.0,0.1875,3,0,0.056798821863704795,2,0.3269666666666666,3
160,WenmuZhou,0.0013649124800024068,0.0,0.1875,3,0,0.05679596499200096,2,0.07186666666666666,6
161,kndtran,0.0012811735130752986,0.0,0.1875,3,0,0.056762469405230116,2,-0.9254000000000001,3
163,Crissium,0.0012640990445999868,0.0,0.1875,3,0,0.05675563961783999,2,0.51248,5
167,Shakib-IO,0.001242572156462788,0.0,0.1875,3,0,0.05674702886258511,2,0.8476666666666667,3
169,ligz08,0.0012261408145853507,0.0,0.1875,3,0,0.05674045632583413,2,0.5165000000000001,3
170,jue-jue-zi,0.0012218396044797767,0.0,0.1875,3,0,0.056738735841791905,2,0.166475,4
171,marcindulak,0.0011982768382939194,0.0,0.1875,3,0,0.05672931073531756,2,0.23146,5
172,FightingZhen,0.001137759583949285,7.255581774871576e-05,0.1875,3,2,0.056726870578904326,3,0.1806076923076923,13
174,GilgameshD,0.0011733655555182475,0.0,0.1875,3,0,0.05671934622220729,2,0.1418,3
175,nurpax,0.001171006218391228,0.0,0.1875,3,0,0.05671840248735648,2,0.13310000000000002,8
177,cjkindel,0.0011536842570613523,0.0,0.1875,3,0,0.05671147370282453,2,0.32193333333333335,3
178,jadermcs,0.0011503990380373837,2.232486699960485e-06,0.1875,3,1,0.056710829361224936,3,0.2144,8
179,mattdornfeld,0.001148914084006024,0.0,0.1875,3,0,0.0567095656336024,2,0.7392333333333333,3
182,guangy10,0.0011455289930214182,0.0,0.1875,3,0,0.05670821159720856,2,0.17751818181818182,11
183,unoroberto12,0.0011452911606916543,0.0,0.1875,3,0,0.056708116464276655,2,0.0984,5
184,dysby,0.0011449126976006139,0.0,0.1875,3,0,0.05670796507904024,3,0.2079,4
188,weathon,0.0010269264308457758,0.00014399539214745126,0.1875,3,3,0.056703969189982543,3,0.30028888888888894,9
189,JoelSeniorLiang,0.0011100026711005852,2.7906083749506062e-05,0.1875,3,1,0.05670237289356508,3,0.359,7
190,PT-10,0.0011290306262219602,0.0,0.1875,3,0,0.05670161225048878,3,0.3025,5
191,Tcc0403,0.0011100579868796403,4.46497339992097e-06,0.1875,3,1,0.056695362686771826,4,0.12055000000000002,10
194,3015pavan,0.0010845348965608493,0.0,0.1875,3,0,0.05668381395862433,3,0.7513666666666667,6
