rank,user,pagerank,betweenness,norm_indegree,in_degree,out_degree,composite,core_number
183,dongwang4096,0.002091057384054659,0.0,0.05128205128205128,2,0,0.016221038338237247,2
184,Rayndell,0.002077970507323889,0.0,0.05128205128205128,2,0,0.01621580358754494,2
185,toilaluan,0.0020372703172256176,0.0,0.05128205128205128,2,0,0.01619952351150563,2
186,Smfakhoury,0.00202255992761251,0.0,0.05128205128205128,2,0,0.01619363935566039,2
187,subinz1,0.0020208478522640272,0.0,0.05128205128205128,2,0,0.016192954525520994,2
188,roycho96,0.002002782417471514,0.0,0.05128205128205128,2,0,0.01618572835160399,2
189,q10,0.001997379593891632,0.0,0.05128205128205128,2,0,0.016183567222172037,2
190,jing-4369,0.0019712699854355746,0.0,0.05128205128205128,2,0,0.016173123378789615,2
191,xadupre,0.001952433430536132,1.2044129691188515e-05,0.05128205128205128,2,1,0.01616920199573719,2
192,thibaultdvx,0.001948665777823698,0.0,0.05128205128205128,2,0,0.01616408169574486,2
193,cxh1020,0.0019480420354500646,0.0,0.05128205128205128,2,0,0.01616383219879541,2
194,pkourdis,0.00193517216716806,0.0,0.05128205128205128,2,0,0.01615868425148261,2
195,Kefir101,0.0019206202087380952,0.0,0.05128205128205128,2,0,0.016152863468110623,2
196,nlgranger,0.0019086342538681678,0.0,0.05128205128205128,2,0,0.01614806908616265,2
197,wjames111,0.00188450940121797,0.0,0.05128205128205128,2,0,0.016138419145102573,2
198,Akasxh,0.00188450940121797,0.0,0.05128205128205128,2,0,0.016138419145102573,2
199,bede214,0.0018760305563840778,0.0,0.05128205128205128,2,0,0.016135027607169016,2
200,woct0rdho,0.001875530538086097,0.0,0.05128205128205128,2,0,0.016134827599849823,2
201,JackYangyang0,0.0018726010792165944,0.0,0.05128205128205128,2,0,0.016133655816302023,2
202,tvogels,0.001865637244405839,0.0,0.05128205128205128,2,0,0.01613087028237772,2
203,stingpie,0.0018554936029007985,0.0,0.05128205128205128,2,0,0.016126812825775702,2
204,npinto,0.0018439997392108644,0.0,0.05128205128205128,2,0,0.01612221528029973,2
205,CarolusSolis,0.001843875206095827,0.0,0.05128205128205128,2,0,0.016122165467053716,2
206,lightvector,0.0018336821416828485,0.0,0.05128205128205128,2,0,0.016118088241288523,2
207,ozziemoreno,0.0018286036853918239,0.0,0.05128205128205128,2,0,0.016116056858772113,2
208,scossu,0.0018247009517695749,0.0,0.05128205128205128,2,0,0.016114495765323214,2
