rank,user,pagerank,betweenness,norm_indegree,in_degree,out_degree,composite,core_number,mean_sentiment,n_posts
172,LokeshShelva,0.0031474997160539538,0.0,0.08695652173913043,2,0,0.02734595640816071,2,-0.10967500000000002,4
173,mkc-cho,0.0012176245792040832,0.0015739814030675528,0.08695652173913043,2,1,0.027046200774341028,2,-0.3163666666666667,3
175,jectpro7,0.0021417608860602685,0.0,0.08695652173913043,2,0,0.026943660876163237,2,-0.08655999999999997,5
176,NourOM02,0.0020228026678048307,0.0,0.08695652173913043,2,0,0.02689607758886106,2,0.2766,3
177,antonioalegria,0.0019641420732797285,0.0,0.08695652173913043,2,0,0.02687261335105102,2,0.0969,3
179,worldback,0.001832696725819668,0.0,0.08695652173913043,2,0,0.026820035212066995,2,0.12773333333333334,3
183,pppazos,0.0016732635845105085,0.0,0.08695652173913043,2,0,0.026756261955543332,1,-0.002625000000000016,4
195,lesliechueng1996,0.0015980800986204382,0.0,0.08695652173913043,2,0,0.026726188561187303,2,-0.21092500000000003,4
196,stonebig,0.0015945314070092715,0.0,0.08695652173913043,2,0,0.026724769084542837,1,0.15703333333333333,6
200,berkbirkan,0.0015702087974370654,0.0,0.08695652173913043,2,0,0.026715040040713955,2,0.058499999999999996,4
202,zhemaituk,0.0015702087974370654,0.0,0.08695652173913043,2,0,0.026715040040713955,2,0.17393333333333336,3
205,baskaryan,0.0013722067598142477,0.00018534201304237487,0.08695652173913043,2,2,0.026691441829577542,2,0.05535,8
208,0xbrainkid,0.0012784837666843794,0.0002509245715035229,0.08695652173913043,2,3,0.02667362739986394,4,0.7526214285714286,14
211,MissLostCodes,0.0013584092675500818,0.00010835379224015762,0.08695652173913043,2,3,0.02666282636643121,3,-0.058925000000000005,4
212,Shivangisharma4,0.0014024628253649087,3.24348522824156e-05,0.08695652173913043,2,1,0.026657672107569818,3,0.5008285714285714,7
213,casparb,0.0012784837666843794,0.00018534201304237487,0.08695652173913043,2,2,0.026653952632325593,2,0.05250000000000001,3
214,dbuos,0.0013987143516033965,0.0,0.08695652173913043,2,0,0.026646442262380488,2,0.6397666666666667,3
215,sam-bercovici,0.001353793744582835,2.851415585267306e-06,0.08695652173913043,2,1,0.026629329444247844,2,-0.22302,5
217,jmaillefaud,0.001338704703188621,0.0,0.08695652173913043,2,0,0.02662243840301458,2,-0.3694333333333333,3
218,PabloVD,0.0013378551641231,0.0,0.08695652173913043,2,0,0.026622098587388367,1,0.06594285714285716,7
223,LogCreative,0.0012908672939083634,0.0,0.08695652173913043,2,0,0.026603303439302475,2,-0.09353333333333334,3
224,Chengdyc,0.0012897629301554935,0.0,0.08695652173913043,2,0,0.026602861693801327,2,0.10952000000000002,5
225,VedantMadane,0.0012842973800374338,2.851415585267306e-06,0.08695652173913043,2,1,0.026601530898429683,2,0.6850666666666667,3
227,FragileHao,0.0012816553936314246,0.0,0.08695652173913043,2,0,0.026599618679191698,2,0.5012666666666666,3
229,msukmanowsky,0.0012784837666843794,0.0,0.08695652173913043,2,0,0.02659835002841288,2,0.60738,5
233,jayteaftw,0.0012696323351395228,0.0,0.08695652173913043,2,0,0.026594809455794937,2,0.11816666666666668,3
