rank,user,pagerank,betweenness,norm_indegree,in_degree,out_degree,composite,core_number,mean_sentiment,n_posts
170,nicolaspi,0.0011681066437378134,0.0028379268546438463,0.058823529411764705,3,3,0.01896567953741769,4,-0.082795,20
171,gregstarr,0.0014839794484063442,0.001725867214638681,0.058823529411764705,3,3,0.018758410767283552,5,-0.056810000000000006,10
172,mgomes0,0.0010659952808114166,0.002136625725195896,0.058823529411764705,3,1,0.018714444653412748,4,-0.027066666666666666,3
175,torzdf,0.002098360756443013,0.0,0.058823529411764705,3,0,0.018486403126106617,3,0.19658000000000003,5
176,El3ssar,0.0010471441216228787,0.0012957227185278598,0.058823529411764705,3,1,0.018454633287736923,4,0.5171,3
179,szleb,0.0018738443847103531,0.0,0.058823529411764705,3,0,0.018396596577413552,3,0.014566666666666617,3
181,asingh9530,0.0018455621604707123,0.0,0.058823529411764705,3,1,0.018385283687717698,3,0.29559285714285716,14
183,dax44,0.001590497254735594,0.0,0.058823529411764705,3,0,0.01828325772542365,2,0.03125,4
185,mazeltovlee,0.0015383070933986177,0.0,0.058823529411764705,3,0,0.01826238166088886,2,0.45709999999999995,4
186,carrycooldude,0.0014794340638858328,0.0,0.058823529411764705,3,0,0.018238832449083746,2,0.13904,5
187,alenowak,0.0014609336508871328,0.0,0.058823529411764705,3,0,0.018231432283884266,2,0.45626666666666665,3
191,MeowTheCat,0.001385023488726556,0.0,0.058823529411764705,3,0,0.018201068219020036,3,0.6604,3
192,wenscarl,0.0013774919105099604,0.0,0.058823529411764705,3,0,0.018198055587733394,2,0.317725,4
193,ErfanMowlaei,0.0013772099430300556,0.0,0.058823529411764705,3,0,0.018197942800741433,3,0.5074,5
194,Devashish13,0.0013729720368830809,0.0,0.058823529411764705,3,0,0.018196247638282644,3,0.19693333333333332,3
197,Omitg24,0.001364058020001408,0.0,0.058823529411764705,3,0,0.018192682031529975,3,0.004399999999999997,3
198,Pagey,0.0013457673657367567,5.242079218301147e-06,0.058823529411764705,3,1,0.018186938393589605,3,0.24323333333333333,3
199,keshusharmamrt,0.0013495351754678944,0.0,0.058823529411764705,3,0,0.01818687289371657,3,-0.1618666666666667,3
202,ralphrmartin,0.0012879212142964775,0.0,0.058823529411764705,3,0,0.018162227309248002,3,-0.14737999999999998,5
203,cliu-nuro,0.0012877261510997643,0.0,0.058823529411764705,3,0,0.018162149283969316,3,0.36776666666666663,3
205,markodjordjic,0.0010932032280723647,0.00023254445865630364,0.058823529411764705,3,2,0.01815410345235525,3,0.24384444444444442,18
206,Jon573,0.001252524471808898,0.0,0.058823529411764705,3,0,0.01814806861225297,3,-0.18002857142857143,7
208,gustavoeb,0.0012250275305992781,0.0,0.058823529411764705,3,0,0.018137069835769123,3,0.4163,4
211,isaacgerg,0.0011985876451879615,0.0,0.058823529411764705,3,0,0.018126493881604595,3,0.18314285714285714,7
212,cevheck,0.0011896711161606252,0.0,0.058823529411764705,3,0,0.018122927269993663,2,0.6783,4
213,telecomadm1145,0.0011841303937711895,0.0,0.058823529411764705,3,0,0.018120710981037888,3,-0.248875,4
214,ThorvaldAagaard,0.0011801817412371092,0.0,0.058823529411764705,3,0,0.018119131520024256,3,-0.21934285714285712,7
215,lcs-crr,0.0011610397258030797,0.0,0.058823529411764705,3,0,0.018111474713850644,3,0.0004166666666666578,6
216,enricoschroeder,0.0011542122509864278,0.0,0.058823529411764705,3,0,0.018108743723923983,3,-0.030974999999999975,4
217,briango28,0.0011387865524552301,2.6210396091505736e-06,0.058823529411764705,3,1,0.01810335975639425,4,0.2100375,8
218,HGS-mbayer,0.0011325040156597863,0.0,0.058823529411764705,3,0,0.018100060429793327,3,-0.496675,4
219,haohuanw,0.0009643609047968646,0.00021641050372886566,0.058823529411764705,3,6,0.018097726336566818,6,0.3961733333333333,15
220,Ending2015a,0.0011128084833277937,0.0,0.058823529411764705,3,0,0.018092182216860528,3,0.19720000000000001,6
221,smartArancina,0.001111880443203457,0.0,0.058823529411764705,3,0,0.018091811000810795,3,0.2587,4
222,albertaillet,0.0011118728197480681,0.0,0.058823529411764705,3,0,0.01809180795142864,3,0.053633333333333345,3
224,ashep29,0.0011052257356477721,0.0,0.058823529411764705,3,0,0.01808914911778852,3,-0.17965,8
225,SeKim12,0.0010966427393987424,0.0,0.058823529411764705,3,0,0.018085715919288908,3,0.5898,4
227,jobs-git,0.0010849826927507246,0.0,0.058823529411764705,3,0,0.0180810519006297,3,-0.07862857142857142,7
228,jeisinge,0.0010765295665097763,0.0,0.058823529411764705,3,0,0.018077670650133323,3,0.147,5
230,oeddyo,0.0010691013065190268,0.0,0.058823529411764705,3,0,0.01807469934613702,3,-0.11639999999999999,5
231,tristan-deep,0.001067914459207856,0.0,0.058823529411764705,3,0,0.018074224607212554,2,0.5337666666666667,3
232,beneyal,0.0010677534150097608,0.0,0.058823529411764705,3,0,0.018074160189533315,3,0.61225,4
233,Cerno-b,0.0010624514667920428,0.0,0.058823529411764705,3,0,0.018072039410246227,3,0.420625,4
234,Ybisalt,0.001057849393767324,0.0,0.058823529411764705,3,0,0.01807019858103634,3,-0.012219999999999998,5
