rank,user,pagerank,betweenness,norm_indegree,in_degree,out_degree,composite,core_number
436,lharrison13,0.0011373786917286042,0.0,0.043478260869565216,1,0,0.013498429737561006,1
437,LLLzxx,0.0011193441039907515,1.425707792633653e-06,0.043478260869565216,1,1,0.013491643614803655,2
438,TmacChenQian,0.0010892864577609972,1.425707792633653e-06,0.043478260869565216,1,1,0.013479620556311753,2
439,hongweipeng,0.0010892864577609972,0.0,0.043478260869565216,1,0,0.013479192843973963,1
440,Mark531,0.0010892864577609972,0.0,0.043478260869565216,1,0,0.013479192843973963,1
441,FedericoOmoto,0.0010892864577609972,0.0,0.043478260869565216,1,0,0.013479192843973963,1
442,LumingSun,0.0010892864577609972,0.0,0.043478260869565216,1,0,0.013479192843973963,1
443,wachawo,0.0010892864577609972,0.0,0.043478260869565216,1,0,0.013479192843973963,1
444,dhaoh,0.0010892864577609972,0.0,0.043478260869565216,1,0,0.013479192843973963,1
445,chenzimin,0.0010892864577609972,0.0,0.043478260869565216,1,0,0.013479192843973963,1
446,dubbl-d,0.0010814775185237567,0.0,0.043478260869565216,1,0,0.013476069268279068,1
447,le-codeur-rapide,0.0010549348620698495,1.425707792633653e-06,0.043478260869565216,1,1,0.013465879918035294,2
448,mudassir206,0.0010557254599360588,0.0,0.043478260869565216,1,0,0.013465768444843988,1
449,suckseed5,0.0010557254599360588,0.0,0.043478260869565216,1,0,0.013465768444843988,1
450,VelizarVESSELINOV,0.0010549348620698495,0.0,0.043478260869565216,1,0,0.013465452205697503,1
451,Surajdutaa2003,0.0010549348620698495,0.0,0.043478260869565216,1,0,0.013465452205697503,1
452,LIN-Yu-Ting,0.0009867587359316937,7.057253573536582e-05,0.043478260869565216,1,1,0.013459353515962853,2
453,HenryXiaoYang,0.0010291711653014888,0.0,0.043478260869565216,1,0,0.01345514672699016,1
454,roombawulf,0.0010291711653014888,0.0,0.043478260869565216,1,0,0.01345514672699016,1
455,Tusenka,0.0010291711653014888,0.0,0.043478260869565216,1,0,0.01345514672699016,1
456,Hybirdss,0.0009931019898257838,0.0,0.043478260869565216,1,0,0.013440719056799878,1
457,wskbest,0.0009931019898257838,0.0,0.043478260869565216,1,0,0.013440719056799878,1
458,sbguthery,0.0009931019898257838,0.0,0.043478260869565216,1,0,0.013440719056799878,1
459,mynameishappyhaha,0.0009931019898257838,0.0,0.043478260869565216,1,0,0.013440719056799878,1
460,valenvivaldi,0.0009867587359316937,0.0,0.043478260869565216,1,0,0.013438181755242242,1
461,sinanuozdemir,0.0009867587359316937,0.0,0.043478260869565216,1,0,0.013438181755242242,1
